Shippment ID;Shipping Type;Frequency of Purchases
1761;Next Day Air;Bi-Weekly
162;Next Day Air;Every 3 Months
26;Store Pickup;Every 3 Months
56;2-Day Shipping;Quarterly
2751;Next Day Air;Weekly
2957;2-Day Shipping;Quarterly
1764;Standard;Monthly
3743;Free Shipping;Monthly
118;2-Day Shipping;Bi-Weekly
528;Standard;Weekly
1015;Express;Quarterly
2907;2-Day Shipping;Fortnightly
2576;Store Pickup;Every 3 Months
685;Express;Quarterly
2044;Standard;Quarterly
499;Free Shipping;Weekly
331;Free Shipping;Annually
2130;Standard;Every 3 Months
1050;Standard;Bi-Weekly
1184;Express;Fortnightly
292;Next Day Air;Fortnightly
2437;Standard;Weekly
620;Free Shipping;Annually
1741;Next Day Air;Quarterly
2299;Express;Every 3 Months
1927;Next Day Air;Monthly
2155;Next Day Air;Every 3 Months
1275;Next Day Air;Fortnightly
2942;Free Shipping;Annually
1988;Express;Bi-Weekly
3043;Free Shipping;Annually
1864;Express;Fortnightly
2313;Express;Weekly
5;Standard;Bi-Weekly
1223;Standard;Fortnightly
2031;Store Pickup;Annually
1899;Store Pickup;Annually
2722;Express;Every 3 Months
1623;Store Pickup;Weekly
2731;Free Shipping;Every 3 Months
872;Free Shipping;Bi-Weekly
3712;Express;Annually
92;Store Pickup;Fortnightly
3328;Free Shipping;Monthly
2082;Standard;Every 3 Months
723;Standard;Quarterly
3884;Standard;Annually
3747;2-Day Shipping;Fortnightly
2774;Free Shipping;Every 3 Months
1690;Standard;Quarterly
2006;Standard;Fortnightly
2755;Store Pickup;Quarterly
3163;Store Pickup;Every 3 Months
1296;2-Day Shipping;Quarterly
3018;Standard;Monthly
1986;Free Shipping;Every 3 Months
3503;Free Shipping;Weekly
3412;Standard;Weekly
3340;Next Day Air;Annually
2621;Free Shipping;Monthly
627;Free Shipping;Bi-Weekly
3750;Standard;Monthly
385;Standard;Quarterly
1793;Standard;Bi-Weekly
3296;Free Shipping;Quarterly
1881;2-Day Shipping;Annually
2483;Express;Annually
3099;Next Day Air;Bi-Weekly
45;Standard;Quarterly
2546;Next Day Air;Weekly
2061;Store Pickup;Every 3 Months
3675;Express;Weekly
3896;Standard;Quarterly
1905;Free Shipping;Monthly
441;2-Day Shipping;Weekly
3252;Free Shipping;Annually
2534;2-Day Shipping;Bi-Weekly
2375;Express;Weekly
75;Free Shipping;Weekly
1556;Store Pickup;Monthly
2075;Store Pickup;Annually
2655;2-Day Shipping;Weekly
52;Standard;Quarterly
176;Store Pickup;Weekly
1047;Standard;Annually
1224;Express;Every 3 Months
3825;Next Day Air;Bi-Weekly
493;Free Shipping;Every 3 Months
3579;Store Pickup;Quarterly
3113;Express;Bi-Weekly
217;Store Pickup;Annually
1254;Store Pickup;Monthly
491;Store Pickup;Weekly
3207;Next Day Air;Weekly
3418;Store Pickup;Monthly
2100;2-Day Shipping;Quarterly
722;2-Day Shipping;Monthly
1085;Next Day Air;Monthly
3108;2-Day Shipping;Monthly
55;Express;Annually
3446;Next Day Air;Weekly
1343;Free Shipping;Monthly
748;Store Pickup;Every 3 Months
3445;2-Day Shipping;Monthly
656;Store Pickup;Weekly
2545;Free Shipping;Fortnightly
2923;Free Shipping;Annually
2458;Next Day Air;Fortnightly
3461;Next Day Air;Every 3 Months
918;Standard;Weekly
3688;Free Shipping;Every 3 Months
1210;2-Day Shipping;Bi-Weekly
53;Next Day Air;Annually
302;Free Shipping;Monthly
3457;Standard;Annually
2170;Free Shipping;Weekly
3244;2-Day Shipping;Fortnightly
3804;Standard;Monthly
349;Next Day Air;Annually
700;Free Shipping;Annually
877;Store Pickup;Quarterly
601;Free Shipping;Annually
678;Store Pickup;Bi-Weekly
1734;Standard;Weekly
2624;2-Day Shipping;Every 3 Months
3795;Next Day Air;Bi-Weekly
814;Free Shipping;Weekly
1921;Express;Bi-Weekly
2288;2-Day Shipping;Quarterly
3376;Store Pickup;Annually
811;Free Shipping;Monthly
3001;Free Shipping;Monthly
242;Standard;Monthly
2989;Free Shipping;Every 3 Months
526;Standard;Annually
189;Standard;Monthly
2328;Free Shipping;Every 3 Months
96;Free Shipping;Fortnightly
3799;Express;Annually
1704;2-Day Shipping;Fortnightly
936;Standard;Bi-Weekly
2490;Free Shipping;Quarterly
3284;Standard;Bi-Weekly
3070;2-Day Shipping;Every 3 Months
3393;2-Day Shipping;Monthly
3603;Standard;Fortnightly
909;Standard;Annually
2059;Next Day Air;Bi-Weekly
28;Store Pickup;Every 3 Months
2251;Next Day Air;Every 3 Months
1846;Store Pickup;Monthly
2946;Next Day Air;Quarterly
2663;Standard;Bi-Weekly
2427;Express;Every 3 Months
2268;Express;Bi-Weekly
1476;Express;Bi-Weekly
1789;Express;Bi-Weekly
405;Store Pickup;Annually
1039;Free Shipping;Weekly
1069;Standard;Monthly
1539;Free Shipping;Bi-Weekly
1757;Standard;Fortnightly
1762;Express;Quarterly
1668;2-Day Shipping;Quarterly
3223;Free Shipping;Every 3 Months
2095;Store Pickup;Every 3 Months
1289;2-Day Shipping;Weekly
2724;Express;Bi-Weekly
512;Store Pickup;Weekly
793;Next Day Air;Fortnightly
2435;Free Shipping;Monthly
3832;2-Day Shipping;Bi-Weekly
2693;Express;Quarterly
724;Standard;Monthly
3136;Next Day Air;Quarterly
342;Standard;Weekly
1831;Express;Weekly
2225;2-Day Shipping;Weekly
560;Standard;Monthly
1143;Express;Weekly
2571;Next Day Air;Monthly
2158;Free Shipping;Monthly
1183;Free Shipping;Weekly
1847;Standard;Monthly
1732;Free Shipping;Every 3 Months
2568;Free Shipping;Every 3 Months
1777;Free Shipping;Quarterly
567;Standard;Annually
17;Standard;Bi-Weekly
2050;Store Pickup;Annually
1682;2-Day Shipping;Every 3 Months
2951;Free Shipping;Weekly
2306;Next Day Air;Monthly
1192;Next Day Air;Annually
979;Express;Annually
2382;Free Shipping;Annually
1393;Standard;Monthly
3194;Standard;Annually
301;Standard;Monthly
629;Free Shipping;Quarterly
355;Standard;Weekly
3111;Free Shipping;Bi-Weekly
2520;Express;Every 3 Months
2739;Free Shipping;Weekly
1851;2-Day Shipping;Fortnightly
751;Standard;Fortnightly
3466;Store Pickup;Every 3 Months
1473;Free Shipping;Annually
2840;Express;Every 3 Months
60;Next Day Air;Every 3 Months
965;Free Shipping;Bi-Weekly
359;Next Day Air;Every 3 Months
2652;Free Shipping;Every 3 Months
1376;Store Pickup;Fortnightly
1723;Store Pickup;Weekly
89;2-Day Shipping;Every 3 Months
996;Express;Fortnightly
3733;Standard;Annually
730;Free Shipping;Fortnightly
2454;Next Day Air;Weekly
1567;2-Day Shipping;Monthly
2723;Standard;Annually
2122;Store Pickup;Weekly
3828;2-Day Shipping;Quarterly
2273;2-Day Shipping;Bi-Weekly
762;Express;Bi-Weekly
1993;2-Day Shipping;Monthly
3294;Store Pickup;Monthly
3720;2-Day Shipping;Monthly
2063;2-Day Shipping;Weekly
1494;Free Shipping;Monthly
3890;Standard;Bi-Weekly
613;Store Pickup;Weekly
1794;Free Shipping;Bi-Weekly
1179;Store Pickup;Quarterly
1581;Standard;Bi-Weekly
361;Express;Every 3 Months
1870;Next Day Air;Every 3 Months
2097;Express;Quarterly
3382;Standard;Monthly
1596;Express;Weekly
3226;Express;Quarterly
1383;Next Day Air;Quarterly
419;Express;Every 3 Months
1084;Store Pickup;Fortnightly
1241;Express;Weekly
1825;Store Pickup;Bi-Weekly
3691;Next Day Air;Weekly
3167;Free Shipping;Weekly
2340;Free Shipping;Fortnightly
279;Free Shipping;Annually
3606;Next Day Air;Every 3 Months
1170;Standard;Annually
906;Store Pickup;Monthly
2368;Express;Every 3 Months
1601;Express;Bi-Weekly
2874;Store Pickup;Quarterly
1315;Next Day Air;Bi-Weekly
3399;Free Shipping;Bi-Weekly
813;2-Day Shipping;Annually
228;Store Pickup;Every 3 Months
776;2-Day Shipping;Quarterly
1332;Free Shipping;Weekly
2926;Express;Quarterly
2885;Free Shipping;Every 3 Months
430;Store Pickup;Monthly
3062;Free Shipping;Annually
3802;2-Day Shipping;Quarterly
1806;Free Shipping;Every 3 Months
2708;Free Shipping;Quarterly
2687;2-Day Shipping;Weekly
3119;2-Day Shipping;Monthly
3592;Next Day Air;Quarterly
2599;Store Pickup;Weekly
1737;2-Day Shipping;Quarterly
2548;Free Shipping;Bi-Weekly
3801;Next Day Air;Fortnightly
791;Next Day Air;Annually
2817;Free Shipping;Annually
2828;Next Day Air;Bi-Weekly
2282;Express;Fortnightly
3316;Express;Monthly
2801;Next Day Air;Every 3 Months
197;Store Pickup;Monthly
63;Free Shipping;Quarterly
330;2-Day Shipping;Bi-Weekly
3565;Store Pickup;Every 3 Months
1177;2-Day Shipping;Bi-Weekly
2289;Standard;Fortnightly
481;Next Day Air;Bi-Weekly
2464;Standard;Every 3 Months
3391;Express;Every 3 Months
188;Store Pickup;Fortnightly
3872;Next Day Air;Monthly
250;2-Day Shipping;Monthly
3523;Standard;Bi-Weekly
2600;Standard;Bi-Weekly
3493;Next Day Air;Weekly
1460;Store Pickup;Fortnightly
95;Express;Quarterly
59;Store Pickup;Monthly
693;Express;Every 3 Months
1094;Standard;Monthly
727;Store Pickup;Fortnightly
132;Express;Quarterly
2384;Store Pickup;Bi-Weekly
497;Free Shipping;Every 3 Months
180;Free Shipping;Weekly
1008;Express;Weekly
3073;Express;Quarterly
2274;Free Shipping;Bi-Weekly
1127;Next Day Air;Monthly
2485;Standard;Quarterly
448;Free Shipping;Bi-Weekly
690;Next Day Air;Fortnightly
282;Standard;Every 3 Months
1624;Express;Bi-Weekly
372;Store Pickup;Bi-Weekly
1480;2-Day Shipping;Bi-Weekly
2239;Store Pickup;Annually
988;Next Day Air;Bi-Weekly
3261;Next Day Air;Weekly
1138;Next Day Air;Annually
2497;Store Pickup;Quarterly
1100;Store Pickup;Monthly
3305;Store Pickup;Every 3 Months
3326;Next Day Air;Every 3 Months
1375;Free Shipping;Monthly
199;Store Pickup;Quarterly
2260;Free Shipping;Bi-Weekly
3160;Store Pickup;Quarterly
677;2-Day Shipping;Annually
3190;Next Day Air;Bi-Weekly
781;Store Pickup;Every 3 Months
1903;Store Pickup;Weekly
1696;Standard;Fortnightly
3096;Next Day Air;Monthly
1887;Free Shipping;Quarterly
2249;Next Day Air;Quarterly
3758;Free Shipping;Bi-Weekly
3022;Express;Weekly
3711;Express;Fortnightly
1013;Standard;Bi-Weekly
3019;2-Day Shipping;Weekly
648;2-Day Shipping;Fortnightly
3580;Express;Monthly
1715;Next Day Air;Annually
3174;Standard;Bi-Weekly
440;2-Day Shipping;Monthly
3570;Free Shipping;Fortnightly
3644;Next Day Air;Bi-Weekly
2003;Free Shipping;Quarterly
2672;Express;Annually
609;Express;Weekly
1912;Store Pickup;Bi-Weekly
755;Free Shipping;Bi-Weekly
3058;Store Pickup;Weekly
2649;Free Shipping;Bi-Weekly
25;Standard;Quarterly
515;2-Day Shipping;Every 3 Months
3851;Store Pickup;Fortnightly
706;Standard;Weekly
3318;Express;Fortnightly
675;Next Day Air;Bi-Weekly
2919;Standard;Every 3 Months
360;Standard;Quarterly
1490;Store Pickup;Bi-Weekly
1146;Free Shipping;Every 3 Months
2434;Standard;Annually
602;Express;Every 3 Months
2407;Store Pickup;Every 3 Months
2784;Store Pickup;Every 3 Months
1160;Express;Quarterly
964;Next Day Air;Bi-Weekly
1882;Store Pickup;Weekly
3672;Free Shipping;Fortnightly
2001;Next Day Air;Bi-Weekly
1261;2-Day Shipping;Monthly
109;Next Day Air;Every 3 Months
720;Next Day Air;Weekly
3458;Free Shipping;Weekly
527;Express;Bi-Weekly
1969;2-Day Shipping;Quarterly
2227;Store Pickup;Quarterly
2094;Free Shipping;Quarterly
336;Standard;Fortnightly
2977;Free Shipping;Annually
1397;Express;Weekly
144;Free Shipping;Weekly
2523;Free Shipping;Annually
2432;Express;Bi-Weekly
2021;2-Day Shipping;Quarterly
2563;Store Pickup;Monthly
48;Next Day Air;Fortnightly
2857;Standard;Quarterly
3563;Free Shipping;Annually
2128;2-Day Shipping;Monthly
1158;Store Pickup;Fortnightly
934;2-Day Shipping;Monthly
3879;Store Pickup;Quarterly
1389;Next Day Air;Fortnightly
1067;2-Day Shipping;Monthly
2072;Standard;Quarterly
2703;Express;Monthly
2439;Standard;Annually
2619;Store Pickup;Every 3 Months
3480;Next Day Air;Fortnightly
1639;2-Day Shipping;Bi-Weekly
2093;2-Day Shipping;Fortnightly
3147;Free Shipping;Weekly
2107;Express;Fortnightly
890;Express;Bi-Weekly
1247;Standard;Bi-Weekly
3403;Next Day Air;Fortnightly
1557;Store Pickup;Monthly
644;Store Pickup;Every 3 Months
1804;2-Day Shipping;Monthly
940;Standard;Monthly
687;Free Shipping;Annually
2423;Free Shipping;Bi-Weekly
665;Standard;Weekly
404;Free Shipping;Every 3 Months
2565;Free Shipping;Annually
2945;Standard;Every 3 Months
3038;2-Day Shipping;Quarterly
1613;Express;Annually
3195;Store Pickup;Annually
164;Free Shipping;Weekly
2647;Standard;Monthly
3845;Store Pickup;Bi-Weekly
3506;Free Shipping;Fortnightly
630;Store Pickup;Every 3 Months
517;Free Shipping;Fortnightly
2414;Express;Fortnightly
207;Standard;Bi-Weekly
884;Next Day Air;Quarterly
1159;Express;Fortnightly
2468;Free Shipping;Every 3 Months
2835;Free Shipping;Weekly
1414;Express;Monthly
2538;Free Shipping;Monthly
3346;2-Day Shipping;Monthly
1234;Standard;Annually
3561;Express;Annually
2552;Free Shipping;Bi-Weekly
2111;2-Day Shipping;Every 3 Months
1832;Free Shipping;Monthly
1964;Next Day Air;Annually
2279;2-Day Shipping;Weekly
3334;Standard;Annually
2984;Express;Bi-Weekly
985;Standard;Monthly
502;2-Day Shipping;Weekly
1075;Standard;Monthly
105;Free Shipping;Annually
2896;Free Shipping;Every 3 Months
580;Next Day Air;Weekly
548;Express;Weekly
1618;Express;Monthly
734;2-Day Shipping;Weekly
1145;Free Shipping;Monthly
3599;Standard;Annually
1826;Store Pickup;Quarterly
1092;Standard;Bi-Weekly
1540;Free Shipping;Monthly
869;Store Pickup;Weekly
598;Next Day Air;Fortnightly
2324;Free Shipping;Quarterly
3308;2-Day Shipping;Annually
2668;Express;Monthly
3831;Next Day Air;Annually
272;Free Shipping;Annually
2110;Next Day Air;Monthly
1772;Express;Bi-Weekly
2811;2-Day Shipping;Quarterly
2712;Free Shipping;Monthly
2235;Next Day Air;Monthly
3037;Express;Weekly
3362;2-Day Shipping;Quarterly
3087;2-Day Shipping;Monthly
3343;2-Day Shipping;Monthly
2462;Store Pickup;Quarterly
2358;Express;Weekly
3514;Store Pickup;Every 3 Months
886;Express;Annually
3299;Next Day Air;Weekly
1295;Store Pickup;Monthly
2223;Express;Fortnightly
249;Free Shipping;Quarterly
2002;Express;Quarterly
2011;2-Day Shipping;Weekly
975;Standard;Quarterly
2831;Store Pickup;Fortnightly
1262;2-Day Shipping;Fortnightly
394;Store Pickup;Every 3 Months
3484;Next Day Air;Monthly
2036;Free Shipping;Every 3 Months
2267;Express;Every 3 Months
1736;Express;Bi-Weekly
2039;2-Day Shipping;Every 3 Months
21;2-Day Shipping;Annually
2027;Store Pickup;Weekly
1740;Standard;Every 3 Months
3499;Express;Fortnightly
606;Express;Bi-Weekly
268;Express;Fortnightly
565;Next Day Air;Weekly
3530;Store Pickup;Quarterly
3842;Free Shipping;Every 3 Months
1320;Express;Monthly
1799;Express;Annually
2396;Standard;Weekly
3419;Next Day Air;Quarterly
2528;Free Shipping;Every 3 Months
1663;Store Pickup;Fortnightly
1407;2-Day Shipping;Weekly
3183;Store Pickup;Every 3 Months
353;Store Pickup;Monthly
391;2-Day Shipping;Weekly
2531;Express;Fortnightly
3631;Next Day Air;Monthly
259;Free Shipping;Annually
2998;Next Day Air;Monthly
1906;Express;Every 3 Months
2920;2-Day Shipping;Annually
1644;Free Shipping;Weekly
2466;Express;Fortnightly
1101;2-Day Shipping;Weekly
3407;Next Day Air;Bi-Weekly
3447;2-Day Shipping;Every 3 Months
738;Free Shipping;Monthly
2689;2-Day Shipping;Monthly
3348;Standard;Fortnightly
1053;2-Day Shipping;Fortnightly
1666;Store Pickup;Bi-Weekly
2678;Next Day Air;Weekly
1152;Next Day Air;Quarterly
3035;Free Shipping;Monthly
1347;Express;Every 3 Months
1943;2-Day Shipping;Monthly
699;Express;Bi-Weekly
692;Free Shipping;Fortnightly
2500;Standard;Bi-Weekly
2683;Next Day Air;Fortnightly
856;Next Day Air;Every 3 Months
3881;Standard;Bi-Weekly
140;Store Pickup;Fortnightly
485;Store Pickup;Monthly
1365;Express;Monthly
3817;Store Pickup;Monthly
1820;Free Shipping;Fortnightly
1915;Express;Annually
2931;Next Day Air;Quarterly
3432;Express;Monthly
411;Standard;Quarterly
2057;Standard;Every 3 Months
3471;Free Shipping;Fortnightly
23;Standard;Quarterly
3494;Free Shipping;Monthly
380;Next Day Air;Every 3 Months
494;2-Day Shipping;Every 3 Months
1954;Next Day Air;Annually
982;Next Day Air;Weekly
2166;Free Shipping;Monthly
1005;Standard;Weekly
1237;2-Day Shipping;Monthly
3078;Standard;Annually
169;Express;Quarterly
1512;Free Shipping;Bi-Weekly
2123;Express;Bi-Weekly
1648;2-Day Shipping;Quarterly
3889;Free Shipping;Quarterly
1754;2-Day Shipping;Bi-Weekly
779;Express;Monthly
1461;Free Shipping;Annually
431;Express;Quarterly
3186;Free Shipping;Annually
3290;2-Day Shipping;Bi-Weekly
1962;2-Day Shipping;Monthly
2943;Store Pickup;Fortnightly
107;Free Shipping;Fortnightly
2315;Standard;Monthly
2151;Free Shipping;Weekly
1216;2-Day Shipping;Bi-Weekly
2521;Free Shipping;Annually
584;2-Day Shipping;Bi-Weekly
213;Express;Quarterly
332;Standard;Bi-Weekly
1528;Standard;Every 3 Months
1010;Store Pickup;Quarterly
10;2-Day Shipping;Bi-Weekly
1;2-Day Shipping;Fortnightly
3411;Next Day Air;Bi-Weekly
27;Free Shipping;Every 3 Months
2727;Next Day Air;Weekly
3030;Store Pickup;Bi-Weekly
1258;Store Pickup;Bi-Weekly
3028;Free Shipping;Monthly
3439;2-Day Shipping;Annually
1848;Next Day Air;Monthly
1889;2-Day Shipping;Every 3 Months
3576;Free Shipping;Bi-Weekly
3731;Next Day Air;Fortnightly
3605;Next Day Air;Bi-Weekly
3741;Standard;Monthly
3428;Express;Every 3 Months
1702;2-Day Shipping;Quarterly
1914;Store Pickup;Fortnightly
1321;Express;Every 3 Months
303;2-Day Shipping;Monthly
2954;Store Pickup;Fortnightly
1878;Next Day Air;Annually
2865;Free Shipping;Every 3 Months
3355;Store Pickup;Every 3 Months
955;2-Day Shipping;Annually
3550;Express;Annually
2541;Store Pickup;Quarterly
2339;Next Day Air;Fortnightly
2403;Next Day Air;Quarterly
1945;Store Pickup;Weekly
2492;Standard;Every 3 Months
288;Standard;Quarterly
2613;Express;Weekly
131;Next Day Air;Bi-Weekly
2119;Free Shipping;Quarterly
3155;Standard;Every 3 Months
2522;2-Day Shipping;Quarterly
2718;2-Day Shipping;Bi-Weekly
2564;Store Pickup;Weekly
1872;Free Shipping;Annually
3787;Next Day Air;Annually
2720;2-Day Shipping;Every 3 Months
147;Free Shipping;Bi-Weekly
1691;Next Day Air;Monthly
1753;Store Pickup;Annually
1499;Free Shipping;Every 3 Months
3417;Next Day Air;Quarterly
2413;Standard;Bi-Weekly
2732;Standard;Fortnightly
247;Standard;Annually
3127;Free Shipping;Fortnightly
1439;Standard;Weekly
533;2-Day Shipping;Every 3 Months
2935;Standard;Bi-Weekly
883;2-Day Shipping;Annually
1603;Store Pickup;Bi-Weekly
3630;Store Pickup;Quarterly
3878;Store Pickup;Quarterly
899;Standard;Annually
1282;Next Day Air;Every 3 Months
307;Free Shipping;Bi-Weekly
1836;2-Day Shipping;Weekly
3885;Store Pickup;Quarterly
784;Express;Bi-Weekly
786;Next Day Air;Quarterly
1292;2-Day Shipping;Annually
3416;Store Pickup;Every 3 Months
573;2-Day Shipping;Fortnightly
2089;Free Shipping;Annually
1917;Store Pickup;Bi-Weekly
1863;Express;Bi-Weekly
3241;Free Shipping;Weekly
2510;Next Day Air;Monthly
931;Next Day Air;Bi-Weekly
2952;2-Day Shipping;Monthly
1697;Next Day Air;Bi-Weekly
1584;2-Day Shipping;Annually
130;Store Pickup;Annually
88;Next Day Air;Monthly
2210;Express;Weekly
2025;Next Day Air;Every 3 Months
1046;Express;Annually
780;2-Day Shipping;Every 3 Months
2133;Free Shipping;Annually
742;2-Day Shipping;Fortnightly
2115;2-Day Shipping;Bi-Weekly
3682;2-Day Shipping;Monthly
3702;2-Day Shipping;Annually
3352;Store Pickup;Monthly
1373;Express;Quarterly
2847;2-Day Shipping;Weekly
3777;Standard;Annually
267;Next Day Air;Weekly
1287;Free Shipping;Bi-Weekly
3857;2-Day Shipping;Bi-Weekly
2048;Standard;Annually
145;2-Day Shipping;Weekly
3366;Express;Bi-Weekly
1760;Express;Fortnightly
634;Standard;Monthly
2505;Store Pickup;Monthly
1137;Free Shipping;Annually
246;Next Day Air;Fortnightly
2792;Standard;Bi-Weekly
3807;Store Pickup;Bi-Weekly
3556;Standard;Annually
2152;Express;Monthly
1387;Express;Fortnightly
2018;Standard;Quarterly
1339;Express;Annually
3239;Express;Bi-Weekly
1637;Standard;Quarterly
3566;Standard;Every 3 Months
3281;2-Day Shipping;Fortnightly
1290;Next Day Air;Annually
1096;Standard;Weekly
2400;Standard;Annually
1288;Next Day Air;Annually
859;Standard;Quarterly
390;Store Pickup;Annually
1255;Free Shipping;Bi-Weekly
2418;Store Pickup;Bi-Weekly
570;Free Shipping;Weekly
40;Express;Weekly
447;Store Pickup;Monthly
2762;Express;Quarterly
358;Free Shipping;Weekly
2711;Store Pickup;Bi-Weekly
186;Store Pickup;Quarterly
3240;Standard;Monthly
2430;Free Shipping;Monthly
3598;Store Pickup;Bi-Weekly
983;Next Day Air;Weekly
1635;Express;Every 3 Months
2455;Free Shipping;Bi-Weekly
295;Standard;Fortnightly
1437;Standard;Weekly
3591;Store Pickup;Annually
2695;Store Pickup;Quarterly
1934;2-Day Shipping;Every 3 Months
2482;Store Pickup;Quarterly
3868;Express;Monthly
920;Standard;Annually
2509;Store Pickup;Weekly
136;Free Shipping;Quarterly
1866;Free Shipping;Weekly
2557;Free Shipping;Monthly
2176;Store Pickup;Every 3 Months
592;Standard;Bi-Weekly
338;Next Day Air;Every 3 Months
3852;Next Day Air;Fortnightly
3742;Standard;Weekly
3628;Next Day Air;Quarterly
3406;Free Shipping;Weekly
237;Next Day Air;Monthly
1213;2-Day Shipping;Every 3 Months
3498;2-Day Shipping;Fortnightly
1257;Store Pickup;Every 3 Months
3529;Standard;Weekly
3455;Next Day Air;Bi-Weekly
805;2-Day Shipping;Monthly
3730;2-Day Shipping;Every 3 Months
1895;Free Shipping;Quarterly
2186;Store Pickup;Fortnightly
1251;Express;Monthly
3395;Next Day Air;Bi-Weekly
2991;Free Shipping;Bi-Weekly
873;Next Day Air;Every 3 Months
801;Standard;Quarterly
841;Next Day Air;Fortnightly
2203;Express;Monthly
344;Store Pickup;Weekly
3648;Store Pickup;Quarterly
1611;Standard;Fortnightly
273;Free Shipping;Monthly
294;Standard;Annually
1442;Express;Every 3 Months
2020;Free Shipping;Weekly
2765;Free Shipping;Annually
1910;Next Day Air;Weekly
402;Express;Weekly
101;2-Day Shipping;Quarterly
3888;Standard;Annually
3586;Standard;Fortnightly
2319;Express;Weekly
1805;Express;Monthly
2691;Express;Monthly
2106;Standard;Every 3 Months
3760;Store Pickup;Monthly
898;Express;Bi-Weekly
285;Free Shipping;Weekly
1981;Next Day Air;Annually
2914;Express;Weekly
3535;Standard;Every 3 Months
1280;2-Day Shipping;Every 3 Months
1686;2-Day Shipping;Annually
1276;Free Shipping;Bi-Weekly
1555;Standard;Annually
2872;Standard;Fortnightly
579;2-Day Shipping;Fortnightly
2997;Standard;Weekly
3332;Store Pickup;Weekly
3613;Next Day Air;Quarterly
1578;Free Shipping;Weekly
2899;Free Shipping;Fortnightly
1271;Next Day Air;Quarterly
3619;Express;Bi-Weekly
3327;Next Day Air;Every 3 Months
3373;Standard;Quarterly
1064;Next Day Air;Every 3 Months
1201;Express;Annually
1752;Standard;Fortnightly
1877;Free Shipping;Weekly
668;Standard;Every 3 Months
3156;Free Shipping;Annually
1529;Store Pickup;Monthly
2934;Next Day Air;Monthly
3171;Next Day Air;Monthly
1344;Next Day Air;Quarterly
3479;Express;Fortnightly
1336;Standard;Annually
1818;Standard;Every 3 Months
1958;Standard;Monthly
2993;Free Shipping;Monthly
2084;Express;Quarterly
1048;Express;Bi-Weekly
2486;Express;Bi-Weekly
3237;Standard;Weekly
618;Standard;Quarterly
3488;Standard;Every 3 Months
2410;2-Day Shipping;Bi-Weekly
3800;Next Day Air;Weekly
3153;2-Day Shipping;Annually
622;Store Pickup;Every 3 Months
2908;Express;Monthly
9;Standard;Bi-Weekly
1142;Store Pickup;Bi-Weekly
464;Standard;Annually
929;2-Day Shipping;Annually
1436;Next Day Air;Every 3 Months
3658;2-Day Shipping;Every 3 Months
865;2-Day Shipping;Quarterly
2607;2-Day Shipping;Fortnightly
459;Next Day Air;Monthly
1403;2-Day Shipping;Quarterly
125;Store Pickup;Annually
1718;Standard;Fortnightly
2307;Standard;Quarterly
556;Store Pickup;Bi-Weekly
3847;Express;Weekly
721;Free Shipping;Bi-Weekly
2243;Next Day Air;Monthly
3664;Store Pickup;Quarterly
1031;Free Shipping;Weekly
3231;Standard;Annually
831;Store Pickup;Every 3 Months
2060;Express;Annually
2868;Standard;Bi-Weekly
759;Next Day Air;Every 3 Months
660;2-Day Shipping;Monthly
3608;2-Day Shipping;Fortnightly
1382;Standard;Annually
972;Standard;Every 3 Months
2393;Store Pickup;Annually
3222;2-Day Shipping;Annually
3389;Free Shipping;Monthly
350;Store Pickup;Fortnightly
1153;Express;Monthly
2782;2-Day Shipping;Bi-Weekly
2101;2-Day Shipping;Weekly
2947;Express;Fortnightly
1671;2-Day Shipping;Fortnightly
2058;Store Pickup;Annually
2248;2-Day Shipping;Weekly
1112;Store Pickup;Bi-Weekly
3410;Express;Weekly
1203;Express;Quarterly
120;Next Day Air;Every 3 Months
3516;Free Shipping;Monthly
3809;Standard;Fortnightly
3312;Store Pickup;Weekly
1023;Store Pickup;Monthly
280;Express;Quarterly
3810;Free Shipping;Bi-Weekly
666;Standard;Annually
1987;Free Shipping;Fortnightly
3739;2-Day Shipping;Weekly
3543;Express;Fortnightly
3846;Express;Bi-Weekly
741;2-Day Shipping;Annually
1576;Next Day Air;Monthly
767;Free Shipping;Every 3 Months
3573;Store Pickup;Annually
547;Standard;Annually
1065;Next Day Air;Weekly
2747;Free Shipping;Every 3 Months
2263;2-Day Shipping;Fortnightly
651;Store Pickup;Weekly
921;Free Shipping;Bi-Weekly
728;Standard;Fortnightly
1245;2-Day Shipping;Annually
182;Express;Every 3 Months
3509;Store Pickup;Monthly
3836;Next Day Air;Fortnightly
2261;Next Day Air;Annually
36;Next Day Air;Bi-Weekly
1520;2-Day Shipping;Monthly
2333;Express;Every 3 Months
1445;Standard;Fortnightly
1457;Store Pickup;Annually
1768;2-Day Shipping;Fortnightly
2971;Next Day Air;Fortnightly
1591;Next Day Air;Weekly
266;Express;Weekly
442;Store Pickup;Fortnightly
2269;Next Day Air;Quarterly
2250;2-Day Shipping;Every 3 Months
3104;Next Day Air;Monthly
1172;Store Pickup;Annually
1787;Store Pickup;Quarterly
416;Free Shipping;Every 3 Months
139;2-Day Shipping;Quarterly
1996;Free Shipping;Monthly
333;2-Day Shipping;Fortnightly
2916;2-Day Shipping;Fortnightly
812;Express;Monthly
3774;Free Shipping;Monthly
1126;Standard;Annually
1672;Standard;Fortnightly
758;Store Pickup;Bi-Weekly
